feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
androstenediol (3beta,17beta) monosulfate (1)	Age	Age	-0.0349224046899969	0.00677987417453947	1.54302725007415e-06	6.44673953838318e-05	CPLM	1.741	96	96	0
inosine	Group	non-COVID-19	2.42430988784395	0.471365825980807	1.59277832635289e-06	6.59410227110096e-05	CPLM	1.936	96	95	1
21-hydroxypregnenolone disulfate	Group	Severe	1.16975568842228	0.228214960541857	1.71112635853565e-06	7.02024273583006e-05	CPLM	1.633	96	95	1
3-methoxycatechol sulfate (1)	Group	Severe	-3.11122137269557	0.610533865571199	1.93269712731962e-06	7.8584845694764e-05	CPLM	1.659	96	67	30
3-(4-hydroxyphenyl)lactate (HPLA)	Group	non-COVID-19	0.608560866401147	0.119891461927621	2.0967855829778e-06	8.45023145564683e-05	CPLM	1.99	96	96	0
tauroursodeoxycholic acid sulfate (1)	Group	non-COVID-19	4.42594798170455	0.872720488414956	2.1355385196117e-06	8.5309144020278e-05	CPLM	1.652	96	47	51
pyroglutamine*	Sex	Male	0.692864141697096	0.13729772901755	2.36427851447259e-06	9.36254291731146e-05	CPLM	1.99	96	96	0
alpha-tocopherol	Group	non-Severe	-0.546432263974883	0.108385534340184	2.41158242975017e-06	9.46753998713991e-05	CPLM	1.915	96	96	0
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Group	Severe	-0.803680378292859	0.159545467151067	2.45356000351965e-06	9.48264793523601e-05	CPLM	1.784	96	96	0
dibutyl sulfosuccinate	Group	non-COVID-19	-39.2748827263051	7.79779533868961	2.46002058250479e-06	9.48264793523601e-05	CPLM	1.748	96	25	74
tauroursodeoxycholate	Group	non-COVID-19	3.42906647913526	0.681061975973774	2.47789877973888e-06	9.48264793523601e-05	CPLM	1.803	96	73	24
ethyl alpha-glucopyranoside	Group	non-Severe	-2.3877561514485	0.475778551730189	2.6467903325277e-06	0.000100445693119426	CPLM	1.394	96	44	54
1-stearoyl-GPI (18:0)	Group	non-COVID-19	-0.70696825255813	0.141267841268692	2.80324004584957e-06	0.000105503761725611	CPLM	1.99	96	96	0
azelate (C9-DC)	Group	Severe	0.705722131278516	0.14141990300141	2.96889264859601e-06	0.000110822435423821	CPLM	1.99	96	96	0
dibutyl sulfosuccinate	Group	non-Severe	-38.8006125032453	7.79794610648134	3.14814461759183e-06	0.000116558134865961	CPLM	1.748	96	25	74
4-ethylcatechol sulfate	Group	non-Severe	-2.44716307884078	0.493242084931944	3.33594099860501e-06	0.000122515123448768	CPLM	1.51	96	54	44
5,6-dihydrothymine	Group	non-COVID-19	0.648633570283457	0.131485252754915	3.73775202881023e-06	0.000136173781913614	CPLM	1.99	96	96	0
2S,3R-dihydroxybutyrate	Group	non-COVID-19	0.764613827782533	0.155739138937471	4.10832128489386e-06	0.000148486469296878	CPLM	1.99	96	96	0
cystine	Group	non-COVID-19	-0.552631601853069	0.112656656307648	4.17691139804591e-06	0.000149776807139379	CPLM	1.05	96	95	1
3-ureidopropionate	Group	Severe	0.904089068659834	0.185119006100413	4.55461530581806e-06	0.000161820000590075	CPLM	1.99	96	96	0
N-stearoylserine*	Group	Severe	-1.13914498100144	0.233324867590077	4.58383400880977e-06	0.000161820000590075	CPLM	1.99	96	96	0
4-ethylcatechol sulfate	Group	Severe	-3.43518596981972	0.704145836739822	4.65236175239051e-06	0.000162975810926049	CPLM	1.51	96	54	44
GlcNAc sulfate conjugate of C21H34O2 steroid	Group	Severe	2.06317552952884	0.423411683648529	4.76093564633474e-06	0.000165506113995484	CPLM	1.41	96	67	30
hydantoin-5-propionate	Group	non-COVID-19	2.93443674776676	0.603135061889689	4.9043872436256e-06	0.000169201359905083	CPLM	1.795	96	85	11
5-methylthioadenosine (MTA)	Age	Age	0.0270130690327103	0.00555809857550236	5.00677897589303e-06	0.000171435123730954	CPLM	1.654	96	95	1
undecanoate (11:0)	Group	Severe	0.25925572805082	0.0536078266649918	5.50855475396682e-06	0.000187208644399738	CPLM	1.99	96	96	0
androstenediol (3alpha, 17alpha) monosulfate (3)	Sex	Male	0.740072199738231	0.153359131175552	5.74134935879918e-06	0.000193674851703493	CPLM	1.621	96	96	0
mannose	Group	non-COVID-19	0.663149011680069	0.137575338469345	5.86785196622447e-06	0.00019648674892784	CPLM	1.99	96	96	0
3-methoxycatechol sulfate (1)	Group	non-Severe	-2.4143949636255	0.501664939437993	6.04514549604132e-06	0.000199489801369364	CPLM	1.659	96	67	30
retinol (Vitamin A)	Group	non-Severe	-0.716656903575967	0.148857773037147	6.00665043256042e-06	0.000199489801369364	CPLM	1.657	96	96	0
2,4-di-tert-butylphenol	Group	non-COVID-19	-0.313808881416254	0.0655681482449289	6.72173510090861e-06	0.000220221450716099	CPLM	1.99	96	96	0
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	Group	Severe	-0.573469252501288	0.11993602746942	6.84346936909965e-06	0.000222608282191999	CPLM	1.332	96	96	0
nonadecanoate (19:0)	Group	non-COVID-19	-0.48089334241262	0.100645085746076	6.93471246905007e-06	0.000223976458042936	CPLM	1.99	96	96	0
2-palmitoyl-GPC* (16:0)*	Group	non-COVID-19	-0.650543283173255	0.136509154494657	7.28714682933754e-06	0.00023370187789298	CPLM	1.99	96	96	0
tetrahydrocortisol sulfate (1)	Group	Severe	2.73278271003275	0.576473746956644	8.04372633314567e-06	0.000256161746301716	CPLM	1.486	96	60	38
3-phenylpropionate (hydrocinnamate)	Group	non-Severe	1.15749631944556	0.244605337700573	8.31470875213855e-06	0.000262952664286381	CPLM	1.99	96	96	0
retinol (Vitamin A)	Group	Severe	-0.790606102736985	0.167528643453746	8.74617428246905e-06	0.000274690190912856	CPLM	1.657	96	96	0
3-hydroxyisobutyrate	Group	Severe	0.779420333584955	0.165863497665717	9.46257297645039e-06	0.000295154502292843	CPLM	1.23	96	94	2
tyramine O-sulfate	Group	Severe	-2.59567510285685	0.554714174789336	1.02279666873594e-05	0.000316858233294114	CPLM	1.649	96	71	26
androstenediol (3alpha, 17alpha) monosulfate (3)	Group	Severe	0.927362751005655	0.198398914300246	1.04326965160794e-05	0.000319024940208831	CPLM	1.621	96	96	0
sucrose	Group	non-COVID-19	-2.5243224580428	0.540065689626366	1.04380140735871e-05	0.000319024940208831	CPLM	1.713	96	79	18
N-linoleoylserine*	Group	non-Severe	-0.787581594118409	0.168757577542828	1.07342239770119e-05	0.000325891039942082	CPLM	1.489	96	95	1
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	Group	non-COVID-19	1.12187230202783	0.240740906961738	1.10255382964597e-05	0.000329767939368739	CPLM	1.72	96	95	1
N,N,N-trimethyl-alanylproline betaine (TMAP)	Group	non-COVID-19	1.0783959133354	0.231473130351774	1.10791600183173e-05	0.000329767939368739	CPLM	1.99	96	96	0
theanine	Group	non-Severe	-3.92446291107716	0.841856386339923	1.09570877090965e-05	0.000329767939368739	CPLM	1.672	96	28	71
2,3-dihydroxyisovalerate	Group	non-COVID-19	-1.43153008528218	0.307643822092616	1.13252633426625e-05	0.000331630309348385	CPLM	1.755	96	94	2
caprylate (8:0)	Group	non-COVID-19	1.74611173264098	0.375175458744144	1.12849553609036e-05	0.000331630309348385	CPLM	1.99	96	96	0
sphingomyelin (d18:2/24:2)*	Group	non-Severe	0.474130984288851	0.101910698267277	1.13601950501423e-05	0.000331630309348385	CPLM	1.99	96	96	0
glycerol 3-phosphate	Group	Severe	-0.593021151587127	0.127728632282073	1.17930203312362e-05	0.00034207270438503	CPLM	1.074	96	94	2
isoleucine	Group	Severe	-0.41598084009666	0.0897409715661828	1.21410349354819e-05	0.00034773756664267	CPLM	1.99	96	96	0
S-methylcysteine	Group	Severe	-0.986193897667139	0.212721333259854	1.2106435130016e-05	0.00034773756664267	CPLM	1.178	96	92	4
2S,3R-dihydroxybutyrate	Sex	Male	0.567532091972978	0.1225489441444	1.23451563585385e-05	0.000351323283200855	CPLM	1.99	96	96	0
3-methyl catechol sulfate (1)	Group	non-COVID-19	-2.72704307113237	0.58905782269437	1.24205201131616e-05	0.000351323283200855	CPLM	1.579	96	55	43
cytidine	Group	Severe	0.863342990259633	0.18659402137096	1.25490325750329e-05	0.000352767249053704	CPLM	1.99	96	96	0
(2,4 or 2,5)-dimethylphenol sulfate	Group	non-Severe	-3.05852770455562	0.661520393244321	1.27145006212259e-05	0.000355225986681367	CPLM	1.369	96	38	60
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Group	non-COVID-19	-0.300240937961793	0.0650928104738192	1.32682243285577e-05	0.000367543535077106	CPLM	1.99	96	96	0
3-hydroxystearate	Group	Severe	-0.586993642092406	0.127287328717913	1.33167947491705e-05	0.000367543535077106	CPLM	1.99	96	96	0
arachidonate (20:4n6)	Group	Severe	-0.71440540002671	0.155106437716252	1.36124074821275e-05	0.000373376194022465	CPLM	1.99	96	96	0
phenyllactate (PLA)	Group	non-Severe	0.663476491078623	0.144096223004744	1.36921002199718e-05	0.000373376194022465	CPLM	1.99	96	96	0
2-hydroxydecanoate	Group	Severe	-0.833636882719239	0.18113533164531	1.38046375394454e-05	0.000374204281872823	CPLM	1.99	96	96	0
pentose acid*	Group	non-COVID-19	-1.21602644902734	0.264372759966858	1.39456074248501e-05	0.000375788734986788	CPLM	1.639	96	94	2
3,4-dihydroxybutyrate	Group	non-COVID-19	0.538408782779354	0.117213924131886	1.42890506033943e-05	0.000382778449693281	CPLM	1.99	96	96	0
dibutyl sulfosuccinate	Group	Severe	-39.0571134305941	8.51012165835147	1.45062366874493e-05	0.000386323987571018	CPLM	1.748	96	25	74
2-palmitoyl-GPC* (16:0)*	Group	Severe	-0.685781489288206	0.149751400837112	1.50797338510566e-05	0.000399262255568091	CPLM	1.99	96	96	0
2-hydroxystearate	Group	non-COVID-19	-0.768885211269657	0.168100072991724	1.54032994226214e-05	0.000403141526267918	CPLM	1.99	96	96	0
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	Group	Severe	0.503790232696322	0.1101374069948	1.53899607263583e-05	0.000403141526267918	CPLM	1.99	96	96	0
15-HETE	Group	non-Severe	-0.944106883851259	0.206946808119096	1.61273667634032e-05	0.000419680161374504	CPLM	1.577	96	94	2
nisinate (24:6n3)	Group	Severe	-2.164303956371	0.474580340413227	1.62282572715534e-05	0.000419906156901444	CPLM	1.317	96	69	28
stearate (18:0)	Group	non-COVID-19	-0.29505060652741	0.0647962697278775	1.66687734449539e-05	0.000428867764227796	CPLM	1.99	96	96	0
1-palmitoylglycerol (16:0)	Group	non-COVID-19	-0.782545690731138	0.172215520526019	1.72914869179279e-05	0.000442390064181145	CPLM	1.99	96	96	0
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Group	Severe	-0.767248259881727	0.168953497493265	1.74795541514063e-05	0.000444703293885498	CPLM	1.188	96	94	2
gamma-CEHC	Group	non-Severe	-0.879902652881153	0.193904037406628	1.77066435635866e-05	0.00044797808215874	CPLM	1.378	96	92	4
S-methylcysteine sulfoxide	Group	Severe	-1.10517871246008	0.24390272911671	1.81616401483393e-05	0.00045695087975435	CPLM	1.99	96	96	0
